   108/299     1.52G   0.02072   0.01141  0.009445   0.04157         5       640    0.9038     0.859    0.9298    0.6856   0.03637  0.007772   0.00985
   109/299     1.52G   0.02022   0.01166  0.007923    0.0398         4       640    0.8866     0.896    0.9306    0.7027     0.038  0.007427  0.009652
   110/299     1.52G   0.02191   0.01179   0.01083   0.04452         8       640    0.8643    0.8689     0.916    0.6983   0.03785  0.007562   0.01041
   111/299     1.52G   0.02005   0.01123  0.009141   0.04041         2       640    0.9078    0.8662    0.9306    0.7029   0.03828  0.007427  0.009682
   112/299     1.52G   0.02029   0.01159  0.008769   0.04064         6       640    0.8754    0.9153    0.9362    0.7122   0.03667  0.007653  0.009335
   113/299     1.52G   0.02124   0.01101  0.008802   0.04106         4       640    0.9044    0.8838     0.936    0.7163   0.03716  0.007439  0.009969
   114/299     1.52G   0.02038   0.01133   0.00936   0.04108         9       640     0.897    0.8728    0.9274     0.699   0.03698  0.007633  0.009786
   115/299     1.52G   0.01975   0.01139  0.009326   0.04047         5       640    0.9047    0.8787    0.9282    0.7041    0.0365  0.007355   0.01069
   116/299     1.52G   0.02162   0.01184   0.00963   0.04309         4       640    0.8743    0.8955    0.9453    0.7107   0.03622   0.00756  0.009314
   117/299     1.52G     0.019   0.01171  0.008492    0.0392         4       640    0.8651    0.9051    0.9402    0.7129   0.03614  0.007439  0.008914
   118/299     1.52G   0.02114    0.0116  0.008454   0.04119         4       640    0.8514    0.9107    0.9394    0.7069   0.03658  0.007254  0.008805
   119/299     1.52G    0.0198   0.01177  0.008683   0.04025         5       640    0.8862    0.8686    0.9385    0.7078   0.03536  0.007159   0.01196
   120/299     1.52G   0.02034   0.01154  0.008625    0.0405         8       640     0.897    0.8625    0.9313    0.7117    0.0357  0.007494   0.01055
   121/299     1.52G   0.02019   0.01143   0.00897   0.04059         5       640    0.8949    0.8761    0.9309    0.7015   0.03692  0.007204   0.01079
   122/299     1.52G   0.02013   0.01141  0.008146   0.03969         9       640    0.9293    0.8671    0.9394    0.7204    0.0362  0.007208  0.009055
   123/299     1.52G   0.02052   0.01131  0.008208   0.04004         5       640    0.8733     0.884    0.9318    0.7126   0.03674  0.007551   0.01034
   124/299     1.52G   0.01956   0.01115  0.007638   0.03836         8       640    0.9244    0.8879     0.944     0.723   0.03731  0.007265   0.01057
   125/299     1.52G   0.02069   0.01118  0.008684   0.04055         7       640    0.9231    0.8529    0.9399    0.7143   0.03785  0.007313    0.0105
   126/299     1.52G   0.02091   0.01148  0.008107    0.0405         5       640    0.8502    0.8946    0.9296    0.6973   0.03877  0.007336    0.0108
   127/299     1.52G   0.01961   0.01098  0.007549   0.03814         7       640    0.9178    0.8919    0.9361    0.7208   0.03781  0.007174      0.01
   128/299     1.52G   0.01869   0.01113  0.007219   0.03703         8       640    0.9017    0.8572    0.9291    0.7033   0.03765  0.007459   0.01046
   129/299     1.52G   0.02083   0.01117   0.00848   0.04048         6       640    0.9419    0.8561    0.9376    0.7213   0.03791  0.007175  0.009002
   130/299     1.52G   0.02061   0.01143  0.008228   0.04027         4       640    0.9027    0.8654    0.9286    0.7011   0.03769  0.007464  0.008865
   131/299     1.52G   0.02115   0.01129  0.007764    0.0402         5       640    0.8985    0.8803    0.9376    0.7108   0.03748  0.007328  0.008731
   132/299     1.52G   0.02086   0.01151  0.008385   0.04076         8       640    0.8904    0.8794    0.9367    0.7225   0.03705  0.007118  0.008341
   133/299     1.52G   0.01931    0.0118  0.008257   0.03937        13       640     0.911    0.8932    0.9452    0.7399   0.03732  0.007011  0.009473
   134/299     1.52G   0.02039   0.01177  0.007759   0.03992         8       640     0.937    0.8825    0.9498     0.731   0.03721  0.007119  0.008993
   135/299     1.52G   0.01912   0.01126  0.006728   0.03711         8       640    0.9037    0.8969    0.9467    0.7365   0.03714  0.007143   0.00902
   136/299     1.52G   0.01935   0.01079  0.007376   0.03751         8       640    0.9244    0.8957    0.9515    0.7358   0.03734  0.006968  0.008482
   137/299     1.52G    0.0199   0.01093  0.007549   0.03838         6       640    0.9222    0.8892    0.9433    0.7198   0.03787  0.007084   0.01145
   138/299     1.52G   0.01923   0.01109   0.00742   0.03773         3       640    0.9162    0.8923    0.9446    0.7296   0.03832   0.00719  0.009312
   139/299     1.52G   0.01976   0.01136  0.007896   0.03901         2       640    0.8836     0.886    0.9277     0.715   0.03747  0.007138  0.009789
   140/299     1.52G   0.01906   0.01126  0.007977   0.03829         4       640    0.9084     0.868    0.9345    0.7237   0.03833  0.007248   0.01004
   141/299     1.52G   0.01905   0.01109  0.007347   0.03748         9       640    0.9287    0.8667    0.9437    0.7376   0.03746  0.006948  0.008835
   142/299     1.52G   0.02017   0.01114  0.007494   0.03881         5       640      0.91    0.9074    0.9449    0.7396   0.03674  0.006929  0.008635
